Cleared/Open Items Symbol,Account,Reference,Trading partner,Document Number,Document type,Assignment,Business Area,Credit control area,Document Date,Posting Date,Special G/L Ind.,Net Due Date Symbol,Amount in Local Currency,Local Currency,Clearing Document,Text
,1018504,9019733,,1200050880,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,49.5,USD,,
,1018504,9019734,,1200050881,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,96,USD,,
,1018504,9019735,,1200050882,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.85,USD,,
,1018504,9019736,,1200050883,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.7,USD,,
,1018504,9019737,,1200050884,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,34.98,USD,,
,1018504,9019738,,1200050885,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019739,,1200050886,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,54.85,USD,,
,1018504,9019740,,1200050887,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,23.5,USD,,
,1018504,9019741,,1200050888,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,37.5,USD,,
,1018504,9019742,,1200050889,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.5,USD,,
,1018504,9019743,,1200050890,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,49.25,USD,,
,1018504,9019744,,1200050891,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,39.4,USD,,
,1018504,9019745,,1200050892,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,39,USD,,
,1018504,9019746,,1200050893,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,340.5,USD,,
,1018504,9019747,,1200050894,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,59.1,USD,,
,1018504,9019748,,1200050895,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,32.79,USD,,
,1018504,9019749,,1200050896,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,19.7,USD,,
,1018504,9019750,,1200050897,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,99,USD,,
,1018504,9019751,,1200050898,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,225.35,USD,,
,1018504,9019752,,1200050899,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,29.55,USD,,
,1018504,9019753,,1200050900,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,24.75,USD,,
,1018504,9019754,,1200050901,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,99,USD,,
,1018504,9019755,,1200050902,F6,,5100,5000,Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),Fri Feb 24 2023 05:30:00 GMT+0530 (India Standard Time),,,93.26,USD,,
,1018504,8127303,,1200051134,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-123.4,USD,,
,1018504,8127306,,1200051137,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-220.52,USD,,
,1018504,8127310,,1200051141,F1,,5100,5000,Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),Mon Feb 27 2023 05:30:00 GMT+0530 (India Standard Time),,,-875.84,USD,,
